
2025/03/17 (11:42:08) | ===> btop++ v.1.4.0
2025/03/17 (11:42:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (11:42:14) | ===> btop++ v.1.4.0
2025/03/17 (11:42:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (12:48:45) | ===> btop++ v.1.4.0
2025/03/17 (12:48:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (13:54:57) | ===> btop++ v.1.4.0
2025/03/17 (13:54:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (17:00:14) | ===> btop++ v.1.4.0
2025/03/17 (17:00:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (17:13:42) | ===> btop++ v.1.4.0
2025/03/17 (17:13:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (17:21:05) | ===> btop++ v.1.4.0
2025/03/17 (17:21:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (19:06:15) | ===> btop++ v.1.4.0
2025/03/17 (19:06:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (21:07:20) | ===> btop++ v.1.4.0
2025/03/17 (21:07:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (02:31:02) | ===> btop++ v.1.4.0
2025/03/18 (02:31:02) | WARNING: Intel GPU: Failed to initialize PMU
